val,status,message
234201764364,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764398,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764817,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764890,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764476,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764809,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764946,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764435,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764443,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764450,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764468,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764484,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764506,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764522,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201764904,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201765390,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201768881,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201768960,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201768986,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201768903,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201768952,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201657331,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201657372,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201661688,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201661791,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201662785,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705234,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201742710,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201742777,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201742919,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201742968,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705122,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705148,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705197,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705259,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201705321,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201661759,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201662814,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201715943,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201721196,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201715897,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201721217,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201721361,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201721424,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201715769,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201721499,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
