val,status,message
234201212211,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201232156,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213017862,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213008654,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201182138,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201182161,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201194285,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201195159,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201145615,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234201237643,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201237308,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201150559,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201235768,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201159448,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201240637,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201482833,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201394813,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201397781,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201408142,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201221807,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201432654,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201142003,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201173292,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201201675,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201215122,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234201185270,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201191885,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201229750,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213010016,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201145710,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234201170876,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201170963,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201199996,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201435220,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201170088,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201187969,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201200113,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201206797,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201206954,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234213018737,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213017992,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213018858,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234213014030,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213014257,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234213005073,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234213009048,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201196604,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234201185205,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201196488,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201169733,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201173674,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201200465,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201168798,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201196222,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201196064,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201197338,SUCCESS,Sudah TERCATAT di FASIH — skip (anti-dupe).
234213001478,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201224605,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201224613,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234213007554,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
